Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Stickler syndrome,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Autosomal_dominant_-_en.svg
"Stings , bee",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bee-sting-abeille-dard-2.jpg
"Stings , jellyfish",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/A_guide_to_the_fossil_invertebrate_animals_in_the_Department_of_geology_and_palaeontology_in_the_British_museum_%28Natural_history%29_%281907%29_%2814799088733%29.jpg
"Stings , scorpion",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/08/ScorpionBarb.jpg
Stomach cancer,Gastroenterology Oncology,"Early: Heartburn, bloating, upper abdominal pain, nausea, belching, loss of appetite.Later: Weight loss, yellowing of the skin and whites of the eyes, vomiting blood, difficulty swallowing, blood in the stool",Over years,,"Helicobacter pylori, genetics","Smoking, dietary factors such as pickled vegetables, obesity",Biopsy done during endoscopy,"Mediterranean diet, stopping smoking","Surgery, chemotherapy, radiation therapy, targeted therapy","Five-year survival rate:< 10% (advanced cases),32% (US), 71% (Japan)",3.5 million (2015),,https://upload.wikimedia.org/wikipedia/commons/8/85/Adenocarcinoma_low_differentiated_%28stomach%29_H%26E_magn_400x.jpg
"Stomach pain , nonulcer",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Diagnostic_and_Treatment_Evaluation.jpg
Stomach polyps,Pathology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Fundic_Gland_Polyp%2C_Stomach_%283295692096%29.jpg
Stomatodynia,,,,,,,,,,,,,
"Stones , kidney",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/3mmstone.png
Stool holding,,,,,,,,,,,,,
Strawberry hemangioma,"Dermatology, gastroenterology, Oral and Maxillofacial Surgery",Raised red or blue lesion,First 4 weeks of life,,,"Females, white people, preemies, low birth weight babies",Based on symptoms and appearance,,"Close observation, medication",,Up to 5%,"Propranolol, Timolol, steroids",https://upload.wikimedia.org/wikipedia/commons/3/3d/Capillary_haemangioma.jpg
Strep throat,Infectious disease,"Fever, sore throat, large lymph nodes",1â€“3 days after exposure,7â€“10 days,Group A streptococcus,Sharing drinks or eating utensils,"Throat culture, strep test","Handwashing, covering coughs","Paracetamol (acetaminophen), NSAIDs, antibiotics",,5 to 40% of sore throats,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Pos_strep.JPG
Stress fractures,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Allosaurus_SDNHM.jpg
Stress incontinence,"Urology, gynaecology, urogynecology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Artificial_urethral_sphincter_-_CT_coronar_001.jpg
Stretch marks,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Belly_Strech_Marks.jpg
Stroke,"Neurology, stroke medicine","Inability to move or feel on one side of the body, problems understanding or speaking, dizziness, loss of vision to one side",,,Ischemic (blockage) and hemorrhagic (bleeding),"High blood pressure, tobacco smoking, obesity, high blood cholesterol, diabetes mellitus, previous TIA, end-stage kidney disease, atrial fibrillation",Based on symptoms with medical imaging typically used to rule out bleeding,,Based on the type,Average life expectancy 1 year,42.4 million (2015),,
Stump pain,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Gray739.png
Stuttering,Speechâ€“language pathology,Involuntary sound repetition and disruption or blocking of speech,2â€“5 years,Long term,Unknown,,,,Speech therapy,Usually resolves by late childhood; 20% of cases last into adulthood,About 1%,Dopamine antagonists,
Sty,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Subarachnoid hemorrhage,"Neurosurgery, Neurology","Severe headache of rapid onset, vomiting, decreased level of consciousness",,,"Head injury, cerebral aneurysm","High blood pressure, smoking, alcoholism, cocaine","CT scan, lumbar puncture",,Neurosurgery or radiologically guided interventions,45% risk of death at 30 days (aneurysmal),"1 per 10,000 per year","Labetalol, nimodipine",https://upload.wikimedia.org/wikipedia/commons/d/dd/CNSinjury.JPG
Subconjunctival hemorrhage ( broken blood vessel in eye ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Bleeding_finger.jpg
Subdural hematoma,"Neurosurgery, Neurology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/ChronicSubduralPostBurrHoles.jpg
Subfertility,"Urology, gynecology",,,,"Common in females: annouvulation, blocked fallopian tube, hormonal imbalance Common in males: low sperm count, abnormal sperm morphology",,,,,,113 million (2015),,https://upload.wikimedia.org/wikipedia/commons/8/86/IVF.jpg
Sudden cardiac arrest,"Cardiology, emergency medicine","Loss of consciousness, abnormal or no breathing",Older age,,"Coronary artery disease, congenital heart defect, major blood loss, lack of oxygen, very low potassium, heart failure",,Finding no pulse,"Not smoking, physical activity, maintaining a healthy weight, healthy eating","Cardiopulmonary resuscitation (CPR), defibrillation",Overall survival rate ~ 10% (outside of hospital) 25% (in hospital); depends strongly on type and cause,"13 per 10,000 people per year (outside hospital in the US)",,https://upload.wikimedia.org/wikipedia/commons/b/b1/Basic_representation_of_cardiac_conduction.gif
Sudden infant death syndrome ( SIDS ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Back_to_sleep_plot.png
Suicide and suicidal thoughts,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Crisis_Counseling_at_Golden_Gate_Bridge.jpg
Sun allergy,Dermatology,,,Several days with annual recurrence,Incompletely understood,,,Sun protection (SPF 50+) Cover up with densely woven clothing,Gradual sun exposure (hardening),,Yearly (spring/summer),Topical corticosteroids,https://upload.wikimedia.org/wikipedia/commons/a/a9/Polymorphic_Light_Eruption_on_the_chest.jpg
Sun poisoning,"Dermatology, immunology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Photodermatitis.jpg
Sunburn,Dermatology,,,,,"Working outdoors, skin unprotected by clothes or sunscreen, skin type, age",,"Use of sunscreen, sun protective clothing",,,,,
Sunken chest,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Miseczka_prozniowa_Eckart_Klobe.jpg
Suspicious breast lumps,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Breast_US_Fibroadenoma_0531092019656_Nevit.jpg
SVT,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/1940_Tula_SVT40.jpg
Sweating and body odor,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/World_map_ABCC11_A_Allele.svg
"Sweating , abnormally excessive",,,,,,,,,,,,,
Sweet 's syndrome,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Sweet%27s_syndrome_Crohn%27s_disease.gif
Swimmer 's ear,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Eczema_ear2.jpg
Swimmer 's itch,,,,,,,,,,,,,
Swine flu ( H1N1 flu ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/8365_loresOLDSCHOOL.jpg
Swollen lymph nodes,"Infectious disease, Oncology","fever; Hard, fixed, rapidly growing nodes, indicating a possible cancer or lymphoma; night sweats; Runny nose; sore throat",,,infections; autoimmune diseases; malignancies;histiocytoses; storage diseases; benign hyperplasia; drug reactions,back pain; constipation; urinary frequency,CT scan; MRI scan; ultrasound,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/CT_of_axillary_lymphadenopathy_-_annotated.jpg
Synostosis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/RadUlSyn_7J.png
Synovial sarcoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/39/Monophasic_synovial_sarcoma_-_high_mag.jpg
Syphilis,Infectious disease,"Firm, painless, non-itchy skin ulcer",,,Treponema pallidum usually spread by sex,,"Blood tests, dark field microscopy of infected fluid","Condoms, not having sex",Antibiotics,,45.4 million / 0.6% (2015),,https://upload.wikimedia.org/wikipedia/commons/e/eb/2ndsyphil2.jpg
Syringomyelia,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Cervical_MRI_120744_rgbca.png
Systemic capillary leak syndrome,Hematology,"hemoconcentration, hypotension, hypoalbuminemia, edema, compartment syndromes",,,,,,,"IVIG, theophylline, terbutaline, montelukast",,,,
Systemic lupus erythematosus,Rheumatology,"Painful and swollen joints, fever, chest pain, hair loss, mouth ulcers, swollen lymph nodes, feeling tired, red rash",15â€“45 years of age,Long term,Unclear,,Based on symptoms and blood tests,,,15 year survival ~80%,"2â€“7 per 10,000","NSAIDs, corticosteroids, immunosuppressants, hydroxychloroquine, methotrexate",https://upload.wikimedia.org/wikipedia/commons/2/2d/Issoria_lathonia.jpg
Systemic mastocytosis,"Clinical Immunology and Allergy, Oncology, hematology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Immunohistochemistry_of_c-KIT_in_small_intestine%2C_highlighting_mast_cells.jpg
Systemic sclerosis,Rheumatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
Tachycardia,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Electrocardiogram_of_Ventricular_Tachycardia.png
Takayasu 's arteritis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Takayasu_Arteritis.jpg
Takotsubo cardiomyopathy,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e7/TakoTsubo_scheme.png
Tapeworm infection,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png
Tay-Sachs disease,Medical genetics,"Initially: Decreased ability to turn over, sit, or crawlLater: Seizures, hearing loss, inability to move",Three to six months of age,Long term,Genetic (autosomal recessive),,"Testing blood hexosaminidase A levels, genetic testing",,"Supportive care, psychosocial support",Death often occurs in early childhood,Rare in the general population,,https://upload.wikimedia.org/wikipedia/commons/7/77/Founder_effect.svg
"Tears , decreased production",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7f/LG3-LRG.jpg
Teen depression,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Katherine_Langford_MTV_Movie_%26_TV_Awards.png
Teeth grinding,Dentistry,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Aufbissschiene.jpg
Temporal arteritis,"Rheumatology, emergency medicine, Immunology","Headache, pain over the temples, flu-like symptoms, double vision, difficulty opening the mouth",Age greater than 50,,Inflammation of the small blood vessels within the walls of larger arteries,,"Based on symptoms and blood tests, confirmed by biopsy of the temporal artery",,"Steroids, bisphosphonates, proton-pump inhibitor",Life expectancy (typically normal),"~ 1 in 15,000 people a year (> 50 years old)",,https://upload.wikimedia.org/wikipedia/commons/a/a0/Cerebral_Giant-Cell_Vasculitis.jpg
Temporal lobe seizure,"Neurology, Psychiatry",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/2DDU.png
Tendinitis,Primary care,"Pain, swelling",,,"Injury, repetitive activities",,"Based on symptoms, examination, medical imaging",,"Rest, NSAIDs, splinting, physiotherapy",80% better within 6 months,Common,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Achilles-tendon.jpg
"Tendinitis , Achilles",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Achilles_insertional_calcific_tendinosis_%28labeled%29.jpg
"Tendinitis , patellar",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Jumpers_knee.jpg
Tennis elbow,"Orthopedics, sports medicine",Painful and tender outer part of the elbow,Gradual,Less than 1 to 2 years,Excessive use of the muscles of the back of the forearm,"Smoking, obesity",Based on symptoms with medical imaging used to rule out other potential causes,,"Changing activities, physical therapy, pain medication",,c. 2%,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Counterforce_brace_YM.jpg
"Tenosynovitis , de Quervain 's",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Finkelstein_Test_Arrow.jpg
Tension headache,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/08/Large_headache_diagram.png
"Testicle , retractile",,,,,,,,,,,,,
Testicular cancer,Oncology,"Lump in the testicle, swelling or pain in the scrotum",20 to 34 years old males,,,"Undescended testis, family history of the disease, previous history of testicular cancer","Physical exam, ultrasound, blood tests, surgical removal of the testicle",,"Surgery, radiation therapy, chemotherapy, stem cell transplantation",Five-year survival rate rates ~ 95% (US),"686,000 (2015)",,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Testosterone deficiency,,,,,,,,,,,,,
Tetanus,Infectious disease,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing",3â€“21 days following exposure,Months,Clostridium tetani,Break in the skin,Based on symptoms,Tetanus vaccine,"Tetanus immune globulin, muscle relaxants, mechanical ventilation",10% risk of death,"209,000 (2015)",diazepam and methocarbamol,https://upload.wikimedia.org/wikipedia/commons/f/f2/Clostridium_Tetani.svg
Tetralogy of Fallot,"Cardiac surgery, pediatrics","Episodes of bluish color to the skin, difficulty breathing, heart murmur, finger clubbing",From birth,,Unknown,"Alcohol, diabetes, >40, rubella during pregnancy","Based on symptoms, echocardiogram",,Open heart surgery,,"1 in 2,000 babies",,https://upload.wikimedia.org/wikipedia/commons/6/66/HeartTOP.jpg
Tetraplegia,Neurosurgery,,,,Damage to spinal cord or brain by illness or injury;,,"Based on symptoms, medical imaging",,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Rod_of_Asclepius2.svg
Thalassemia,Hematology,"Feeling tired, pale skin, enlarged spleen, yellowish skin, dark urine",,,Genetic (autosomal recessive),,"Blood tests, genetic tests",,"Blood transfusions, iron chelation, folic acid",,280 million (2015),,https://upload.wikimedia.org/wikipedia/commons/4/47/Anemia.JPG
Thoracic aortic aneurysm,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/AneurysmT.PNG
Thoracic outlet syndrome,"Vascular surgery, thoracic surgery","Pain, weakness, loss of muscle at the base of the thumb, swelling, paleness, bluish coloration",20 to 50 years of age,,"Compression of the nerves, arteries, or veins in the passageway from the lower neck to the armpit","Trauma, repetitive arm movements, tumors, pregnancy, cervical rib","Nerve conduction studies, medical imaging",,"Pain medication, surgery",,~1%,,https://upload.wikimedia.org/wikipedia/commons/9/90/Thoracic_Outlet_Syndrome.png
Three-day measles,Infectious disease,"Rash, swollen lymph nodes, fever, sore throat, feeling tired",2 weeks after exposure,3 days,Rubella virus (spread through the air),,"Finding the virus in the blood, throat, or urine, antibody tests",Rubella vaccine,Supportive care,,Common in many areas,,https://upload.wikimedia.org/wikipedia/commons/a/a0/10145_lores.jpg
Throat cancer,"Oncology, oral and maxillofacial surgery","Lump or sore that does not heal, sore throat that does not go away, trouble swallowing, change in the voice",,,,"Alcohol, tobacco, betel quid, human papillomavirus, radiation exposure, certain workplace exposures, Epstein-Barr virus",Tissue biopsy,Not using tobacco or alcohol,"Surgery, radiation therapy, chemotherapy, targeted therapy",,5.5 million (affected during 2015),,https://upload.wikimedia.org/wikipedia/commons/c/ce/Guanine_and_2_oxidative_products.svg
Thromboangiitis obliterans,"Cardiology, rheumatology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Barokomora_Nis_hyperbaric_center.JPG
"Thrombocythemia , essential",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Blausen_0740_Platelets.png
Thrombocytopenia ( low platelet count ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
"Thrombocytopenia , childhood",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
Thrombocytosis,Hematology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Blausen_0740_Platelets.png
Thrombophlebitis,Cardiology,Skin redness,,,,"Smoking, Lupus","Doppler ultrasound, Venography",,"Blood thinners, Pain medication",,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Deep_vein_thrombosis_of_the_right_leg.jpg
"Thrush , oral",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Angular_cheilitis1.jpg
Thumb arthritis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Gout_Signs_and_Symptoms.jpg
Thunderclap headaches,,,,,,,,,,,,,
Thyroid cancer,Oncology,Swelling or lump in the neck,,,,"Radiation exposure, enlarged thyroid, family history","Ultrasound, fine needle aspiration",,"Surgery, radiation therapy, chemotherapy, thyroid hormone, targeted therapy, watchful waiting",Five year survival rates 98% (US),3.2 million (2015),,https://upload.wikimedia.org/wikipedia/commons/5/57/Diagram_showing_stage_M1_thyroid_cancer_CRUK_241.svg
Thyroid gland enlargement,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/29/Blausen_0534_Goiter.png
Thyroid nodules,"ENT surgery, oncology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Thyroid_scan.jpg
"Thyroid , overactive",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/29/Blausen_0534_Goiter.png
"Thyroiditis , chronic lymphocytic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Hashimoto-Thyreoiditis.JPG
Tinea barbae,Infectious disease,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Tinea_Barbae.png
Tinea capitis,Infectious disease,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Teigne_tondante_enfant.jpg
Tinea corporis,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Ringworm_on_the_arm%2C_or_tinea_corporis_due_to_Trichophyton_mentagrophytes_PHIL_2938_lores.jpg
Tinea cruris,Dermatology,"Itch, rash in groin",,,,Excessive sweating Diabetes Obesity,Microscopy and culture of skin scrapings,Treat any fungal infections of feet or nails. Keep groin region dry Avoid tight clothing Losing weight if obese,,,,Topical antifungal medications,https://upload.wikimedia.org/wikipedia/commons/7/7d/Macroconidia_of_Epidermophyton_floccosum_%28PHIL_4207_lores%29.jpg
Tinea pedis,Infectious disease,"Itching, scaling, redness of the foot",,,"Fungi (Trichophyton, Epidermophyton, Microsporum)",,"Based on symptoms, confirmed by culture or microscopy","Avoiding walking barefoot in public showers, keeping toenails short, wearing big enough shoes, changing socks daily",Antifungal medication applied to the skin or taken by mouth,,15% of the population,,https://upload.wikimedia.org/wikipedia/commons/5/58/Athlete%27s_Foot_Fungus_microscope.jpg
Tinea versicolor,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/CC-BY_icon.svg
Tinnitus,"Otorhinolaryngology, audiology",Hearing sound when no external sound is present,Gradual,,"Noise-induced hearing loss, ear infections, disease of the heart or blood vessels, MÃ©niÃ¨re's disease, brain tumors, inner ear tumors, emotional stress, traumatic brain injury, excessive earwax",,"Based on symptoms, audiogram, neurological exam",,"Counseling, sound generators, hearing aids",,~12.5%,,
TMJ disorders,"Oral and maxillofacial surgery, Oral medicine",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Aufbissschiene.jpg
Toe walking in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Toe_Walking_in_Autism_1.jpg
Toenail fungus,Infectious disease,"White or yellow nail discoloration, thickening of the nail",Older males,,Fungal infection,"Athlete's foot, other nail diseases, exposure to someone with the condition, peripheral vascular disease, poor immune function","Based on appearance, confirmed by laboratory testing",,"None, anti-fungal medication, trimming the nails",Often recurs,~10% of adults,"Terbinafine, ciclopirox",https://upload.wikimedia.org/wikipedia/commons/8/84/A_patient%27s_left_foot_-_after_ten_weeks_of_Terbinafine_oral_treatment.png
Tongue cancer,"Oncology, oral and maxillofacial surgery, ENT surgery","Persistent rough white or red patch in the mouth lasting longer than 2 weeks, ulceration, lumps/bumps in the neck, pain, loose teeth, difficulty swallowing",,,,"Smoking, alcohol, HPV infection, sun exposure, chewing tobacco",Tissue biopsy,"Avoiding risk factors, HPV vaccination","Surgery, radiation, chemotherapy",Five-year survival ~ 65% (US 2015),"355,000 new cases (2018)",,https://upload.wikimedia.org/wikipedia/commons/9/99/Cancer_beagle.jpg
Tongue-tie ( ankyloglossia ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ankyloglossia_2.jpg
Tonic-clonic seizure,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/WHO_Rod.svg
Tonsil cancer,"Oncology, head and neck surgery","Sore or blister in back of mouth, difficulty with speech, swallowing or breathing, swelling in neck, loss of appetite, loss of weight, and weakness",,,"Human papillomavirus (HPV), tobacco use (smoking and chewing), alcohol use disorder (long-term effects)",,"Endoscopy, biopsy, staining for p16, CT scan",HPV vaccine,"Surgery, radiation, chemotherapy",,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Open_Access_logo_PLoS_transparent.svg
Tonsillitis,Infectious disease,"Sore throat, fever, enlargement of the tonsils, trouble swallowing, large lymph nodes around the neck",,~ 1 week,"Viral infection, bacterial infection",,"Based on symptoms, throat swab, rapid strep test",,,,7.5% (in any given 3 months),"Paracetamol (acetaminophen), ibuprofen, penicillin",https://upload.wikimedia.org/wikipedia/commons/b/b8/Blausen_0860_Tonsils%26Throat_Anatomy.png
Tooth abscess,Dentistry,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Abces_dentaire.jpg
Tooth decay,Dentistry,"Pain, tooth loss, difficulty eating",,Long term,Bacteria producing acid from food debris,"Diet high in simple sugar, diabetes mellitus, SjÃ¶gren syndrome, medications that decrease saliva",,"Low-sugar diet, teeth brushing, fluoride, flossing",,,3.6 billion (2016),"Paracetamol (acetaminophen), ibuprofen",https://upload.wikimedia.org/wikipedia/commons/3/37/Amalgam.jpg
Torn meniscus,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Arthroscopy_is_a_surgical_technique.png
"Torsion , testicular",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Illu_testis_surface.jpg
"Torticollis , spasmodic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Basal-ganglia-coronal-sections-large.png
Total anomalous pulmonary venous return,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Tapv-575px.jpg
Tourette syndrome,"Pediatrics, neurology, psychiatry",Tics,Typically in childhood,Long term,Genetic with environmental influence,,Based on history and symptoms,,,80% will experience improvement to disappearance of tics beginning in late teens,About 1% of children and adolescentsBetween 0.3% and 1.0% of general population.,"Usually none, occasionally neuroleptics and noradrenergics",https://upload.wikimedia.org/wikipedia/commons/8/85/Basal_ganglia_and_related_structures_%282%29.svg
Toxemia,,,,,,,,,,,,,
Toxic hepatitis,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Akee.jpg
Toxic shock syndrome,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/PDB_1aw7_EBI.jpg
Toxoplasmosis,Infectious disease,"Often none, during pregnancy (birth defects)",,,Toxoplasma gondii,"Eating poorly cooked food, exposure to infected cat feces","Blood test, amniotic fluid test",,During pregnancy spiramycin or pyrimethamine/sulfadiazine and folinic acid,,"Up to 50% of people, 200,000 cases of congenital toxoplasmosis a year",,https://upload.wikimedia.org/wikipedia/commons/9/91/BrainToxoplasmosis_MRI_2_09.png
Trachoma,Infectious disease,"Eye pain, blindness",,,Chlamydia trachomatis spread between people,"Crowded living conditions, not enough clean water and toilets",,"Mass treatment, improved sanitation","Medications, surgery",,80 million,"Azithromycin, tetracycline",https://upload.wikimedia.org/wikipedia/commons/6/64/2308_The_Trachea-b.jpg
Transient global amnesia,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg
Transient ischemic attack ( TIA ),,,,,,,,,,,,,
Transposition of the great arteries,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/09/D-TGA.jpg
Transverse myelitis,Neurology,Weakness of the limbs,,,Uncertain,,Neurological exam,,Corticosteroids,,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Borrelia_burgdorferi-cropped.jpg
Traumatic brain injury,"Neurosurgery, pediatrics","Physical, cognitive, sensory, social, emotional, and behavioral symptoms",,,Trauma to the head,"Old age, alcohol","Based on neurological exam, medical imaging",,"Behavioral therapy, speech therapy",,,,https://upload.wikimedia.org/wikipedia/commons/7/7d/1912_Warren_Safety_Helmet.jpg
Traumatic grief,Psychology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/29/Criteria_for_PGD_proposed_for_DSM-V_and_ICD-11..jpg
Traveler 's diarrhea,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Wikivoyage-Logo-v3-icon.svg
Trichinosis,Infectious disease,"Initially: diarrhea, abdominal pain, vomitingLater: swelling of the face, inflammation of the whites of the eyes, fever, muscle pains, rash",,,Trichinella from eating undercooked meat,,"Antibodies in the blood, larvae on tissue biopsy",Fully cook meat,,Low risk of death,"~10,000 cases a year","Albendazole, mebendazole",https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg
Trichomoniasis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Trichomonas_May-Gr%C3%BCnwald_staining.jpg
Trichotillomania ( hair-pulling disorder ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Trichotillomania_1.jpg
Tricuspid atresia,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Tricuspid_atresia.svg
Tricuspid valve disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Diagram_of_the_human_heart_%28cropped%29.svg
Tricuspid valve regurgitation,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Diagram_of_the_human_heart_%28cropped%29.svg
Trigeminal neuralgia,Neurology,"Typical: episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutesAtypical: constant burning pain",> 50 years old,,Believed to be due to problems with myelin of trigeminal nerve,,Based on symptoms,,"Medication, surgery",80% improve with initial treatment,"1 in 8,000 people per year","Carbamazepine, oxcarbazepine",https://upload.wikimedia.org/wikipedia/commons/8/83/Gray778.png
Trigger finger,"Hand surgery, orthopedic surgery, and plastic surgery","Catching or locking of the involved finger, pain",50s to 60s years old,,,"Repeated injury, diabetes, kidney disease, thyroid disease, inflammatory disease",Based on symptoms,,"Rest, splinting the finger, NSAIDs, steroid injections, surgery",,Relatively common,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Post-operative_photo_of_trigger_finger_release_surgery.jpg
Trisomy 21 syndrome,"Medical genetics, pediatrics","Delayed physical growth, characteristic facial features, mild to moderate intellectual disability",,,Third copy of chromosome 21,"Older age of mother, prior affected child","Prenatal screening, genetic testing",,"Educational support, sheltered work environment",Life expectancy 50 to 60 years (developed world),5.4 million (0.1%),,https://upload.wikimedia.org/wikipedia/commons/1/11/A_boy_with_Down_syndrome_using_cordless_drill_to_assemble_a_book_case.jpg
