Name,link,Symptoms,Overview,Causes,Risk factors,Diagnosis,Treatment,Remedies,Medication,info-Specialty,info-Symptoms,info-Usual onset,info-Duration,info-Causes,info-Risk factors,info-Diagnostic method,info-Prevention,info-Treatment,info-Prognosis,info-Frequency,info-Medication,ImageURL
Retinal diseases,https://www.mayoclinic.org/diseases-conditions/retinal-diseases/symptoms-causes/syc-20355825,,"The eye is a complex and compact structure measuring about 1 inch (2.5 centimeters) in diameter. Retinal diseases vary widely, but most of them cause visual symptoms. Retinal diseases can affect any part of the retina, a thin layer of tissue on the inside back wall of the eye. Untreated, some retinal diseases can cause severe vision loss or blindness. A retinal tear occurs when the clear, gel-like substance in the center of the eye (vitreous) shrinks and tugs on the thin layer of tissue lining the back of the eye (retina) with enough traction to cause a break in the tissue. This usually occurs when fluid passes through a retinal tear, causing the retina to lift away from the underlying tissue layers. If one has diabetes, the tiny blood vessels (capillaries) in the back of the eye can deteriorate and leak fluid into and under the retina.",,,"He or she will ask one if the lines of the grid seem faded, broken or distorted and will note where the distortion occurs on the grid to better understand the extent of retinal damage. This test is an excellent technique for capturing precise images of the retina to diagnose epiretinal membranes, macular holes and macular swelling (edema), to monitor the extent of age-related wet macular degeneration, and to monitor responses to treatment. FAF may be used to determine the advancement of retinal diseases, including macular degeneration. This helps to exactly identify closed blood vessels, leaking blood vessels, new abnormal blood vessels and subtle changes in the back of the eye. The resulting images show retinal blood vessels and the deeper, harder-to-see blood vessels behind the retina in a tissue called the choroid. This test uses high-frequency sound waves (ultrasonography) to help view the retina and other structures in the eye.",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/ConeMosaics.jpg
Retinoblastoma,https://www.mayoclinic.org/diseases-conditions/retinoblastoma/symptoms-causes/syc-20351008,,,"In the majority of cases, it's not clear what causes the genetic mutations that lead to retinoblastoma. Although a genetic mutation increases a child's risk of retinoblastoma, it doesn't mean that cancer is inevitable.",,"Scans and other imaging tests can help the child's doctor determine whether retinoblastoma has grown to affect other structures around the eye. Imaging tests may include ultrasound, computerized tomography (CT) scan and magnetic resonance imaging (MRI), among others. The child's doctor may refer one to other specialists, such as a doctor who specializes in treating cancer (oncologist), a genetic counselor or a surgeon.",,,,Neuro-oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/59/External_beam_radiotherapy_retinoblastoma_nci-vol-1924-300.jpg
"Retinopathy , diabetic",https://www.mayoclinic.org/diseases-conditions/diabetic-retinopathy/symptoms-causes/syc-20371611,,,"In the early stages of diabetic retinopathy, the walls of the blood vessels in the retina weaken. As diabetic retinopathy progresses, new blood vessels may grow and threaten the vision. In this more common form called nonproliferative diabetic retinopathy (NPDR) new blood vessels aren't growing (proliferating). Tiny bulges (microaneurysms) protrude from the vessel walls of the smaller vessels, sometimes leaking fluid and blood into the retina. Eventually, scar tissue stimulated by the growth of new blood vessels may cause the retina to detach from the back of the eye.",,"For this exam, drops placed in the eyes widen (dilate) the pupils to allow the doctor to better view inside the eyes. During the exam, the eye doctor will look for: In addition, the eye doctor may: With the eyes dilated, the doctor takes pictures of the inside of the eyes. Abnormal blood vessels Swelling, blood or fatty deposits in the retina Growth of new blood vessels and scar tissue Bleeding in the clear, jelly-like substance that fills the center of the eye (vitreous) Retinal detachment Abnormalities in the optic nerve Test the vision Measure the eye pressure to test for glaucoma Look for evidence of cataracts Eye exam",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/55/Blausen_0312_DiabeticRetinopathy.png
Retrograde ejaculation,https://www.mayoclinic.org/diseases-conditions/retrograde-ejaculation/symptoms-causes/syc-20354890,,,,,"The doctor will: If one has dry orgasms, but the doctor doesn't find semen in the bladder, one might have a problem with semen production. If the doctor suspects the dry orgasm is something other than retrograde ejaculation, one might need further tests or a referral to a specialist to find the cause. The doctor might also ask about any health problems, surgeries or cancers one has had and what medications one take. The doctor will ask one to empty the bladder, masturbate to climax and then provide a urine sample for laboratory analysis.",,,"Drugs to treat retrograde ejaculation are drugs primarily used to treat other conditions, including These medications help keep the bladder neck muscle closed during ejaculation. Certain medications used to treat retrograde ejaculation can increase the blood pressure and heart rate, which can be dangerous if one has high blood pressure or heart disease.",Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Retrograde_ejaculation_en.svg
Rett syndrome,https://www.mayoclinic.org/diseases-conditions/rett-syndrome/symptoms-causes/syc-20377227,"Rett syndrome signs and symptoms include Rett syndrome is commonly divided into four stages: Signs and symptoms of Rett syndrome can be subtle in the early stages. See the child's doctor right away if one begin to notice physical problems or changes in behavior after apparently normal development, such as: Slowed growth. Children with Rett syndrome typically begin to lose the ability to speak, to make eye contact and to communicate in other ways. Over time, children may gradually regain eye contact and develop nonverbal communication skills. Children with Rett syndrome typically develop repetitive, purposeless hand movements that may differ for each person. Hand movements may include hand-wringing, squeezing, clapping, tapping or rubbing. Children with Rett syndrome tend to have unusual eye movements, such as intense staring, blinking, crossed eyes or closing one eye at a time. These include breath-holding, abnormally rapid breathing (hyperventilation), forceful exhalation of air or saliva, and swallowing air. Periods of crying or screaming may begin suddenly, for no apparent reason, and last for hours. These may include, for example, sudden, odd facial expressions and long bouts of laughter, hand licking, and grasping of hair or clothing. Abnormal sleep patterns can include irregular sleep times, falling asleep during the day and being awake at night, or waking in the night with crying or screaming. Starting between 1 and 4 years of age, children lose the ability to perform skills they previously had. Although problems with movement continue, behavior may have limited improvement, with less crying and irritability, and some improvement in hand use and communication. Understanding, communication and hand skills generally remain stable or improve slightly, and seizures may occur less often.","Rett syndrome is a rare genetic neurological and developmental disorder that affects the way the brain develops, causing a progressive loss of motor skills and speech. Most babies with Rett syndrome seem to develop normally for the first 6 to 18 months of age, and then lose skills they previously had such as the ability to crawl, walk, communicate or use their hands. Current treatment focuses on improving movement and communication, treating seizures, and providing care and support for children and adults with Rett syndrome and their families.","Classic Rett syndrome, as well as several variants with milder or more-severe symptoms, can occur based on the specific genetic mutation. Because males have a different chromosome combination from females, boys who have the genetic mutation that causes Rett syndrome are affected in devastating ways. Similar to girls with Rett syndrome, these boys will likely live to adulthood, but they're still at risk of a number of intellectual and developmental problems.",,"If the child's doctor suspects Rett syndrome after evaluation, he or she may recommend a genetic test (DNA analysis) to confirm the diagnosis. Other genetic disorders Autism Cerebral palsy Hearing or vision problems Metabolic disorders, such as phenylketonuria (PKU) Disorders that cause the brain or body to break down (degenerative disorders) Brain disorders caused by trauma or infection Brain damage before birth (prenatal) Blood tests Urine tests Imaging tests such as magnetic resonance imaging (MRI) or computerized tomography (CT) scans Hearing tests Eye and vision exams Brain activity tests (electroencephalograms, also called EEGs) Partial or complete loss of purposeful hand skills Partial or complete loss of spoken language Walking abnormalities, such as problems walking or not being able to walk Repetitive purposeless hand movements, such as hand-wringing, squeezing, clapping or tapping, putting hands in the mouth, or washing and rubbing movements CT scan EEG (electroencephalogram) Eye exam Genetic testing MRI Urinalysis","Although there is no cure for Rett syndrome, treatments are directed toward symptoms and providing support, which may improve the potential for movement, communication and social participation. Treatments that can help children and adults with Rett syndrome include A few examples of complementary therapies that have been tried in children with Rett syndrome include Although there's not much evidence that these approaches are effective, they may offer opportunities for increased movement and social and recreational enrichment. If one think alternative or complementary therapies might help the child, talk to the doctor or therapist about the possible benefits and risks, and how the approach might fit into the medical treatment plan. Children and adults with Rett syndrome need help with most daily tasks, such as eating, walking and using the bathroom. Though medications can't cure Rett syndrome, they may help control some signs and symptoms associated with the disorder, such as seizures, muscle stiffness, or problems with breathing, sleep, the gastrointestinal tract or the heart. In some cases, physical therapy can also help maintain movement, create a proper sitting position, and improve walking skills, balance and flexibility. If repetitive arm and hand movements are a problem, splints that restrict elbow or wrist motion may be helpful. Academic, social and job-training services may help with integration into school, work and social activities.",,,"Psychiatry, pediatrics","Impairments in language and coordination, and repetitive movements, slower growth, smaller head",After 6â€“18 months of age,Lifelong,Mutation in the MECP2 gene,,"Based on symptoms, genetic testing",,"Special education, physiotherapy, braces",Life expectancy for many is middle age.,"1 in 8,500 females",Anticonvulsants,
Reye 's syndrome,https://www.mayoclinic.org/diseases-conditions/reyes-syndrome/symptoms-causes/syc-20377255,,"Reye's (Reye) syndrome is a rare but serious condition that causes swelling in the liver and brain. Aspirin has been linked with Reye's syndrome, so use caution when giving aspirin to children or teenagers for fever or pain. For the treatment of fever or pain, consider giving the child infants or children's over-the-counter fever and pain medications such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin, others) as a safer alternative to aspirin.",,,"During a lumbar puncture (spinal tap) procedure, one typically lie on the side with the knees drawn up to the chest. A spinal tap can help the doctor identify or rule out other diseases with similar signs and symptoms, such as infection of the lining that surrounds the brain and spinal cord (meningitis) or inflammation or infection of the brain (encephalitis). During a skin biopsy, a doctor takes a small skin sample (biopsy) for analysis in a lab. CT scan Liver biopsy Lumbar puncture (spinal tap) MRI Skin biopsy Urinalysis Spinal tap (lumbar puncture).","Specific treatment may include If the child has trouble breathing, he or she may need assistance from a breathing machine (ventilator). Reye's syndrome is often diagnosed in an emergency situation because of serious signs and symptoms, such as seizures or loss of consciousness.",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Reye%27s_syndrome_liver-histology.jpg
Rhabdomyosarcoma,https://www.mayoclinic.org/diseases-conditions/rhabdomyosarcoma/symptoms-causes/syc-20390962,,"Rhabdomyosarcoma (RMS) is a rare type of cancer that forms in soft tissue specifically skeletal muscle tissue or sometimes hollow organs such as the bladder or uterus. Although RMS can arise anywhere in the body, it's more likely to start in the: The outlook (prognosis) and treatment decisions depend on the type of rhabdomyosarcoma, where it starts, tumor size and whether the cancer has spread.",,,Imaging tests may include A biopsy procedure is used to collect a sample of suspicious cells for laboratory testing. Types of biopsy procedures used to diagnose rhabdomyosarcoma include Determining the type of biopsy needed and the specifics of how it should be performed requires careful planning by the medical team. X-ray Computerized tomography (CT) Magnetic resonance imaging (MRI) Positron emission tomography (PET) Bone scan Needle biopsy. The doctor makes an incision through the skin and removes either the entire tumor (excisional biopsy) or a portion of the tumor (incisional biopsy).,,,,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Rms1.jpg
Rheumatic fever,https://www.mayoclinic.org/diseases-conditions/rheumatic-fever/symptoms-causes/syc-20354588,,,,,,"The goals of treatment for rheumatic fever are to destroy remaining group A streptococcal bacteria, relieve symptoms, control inflammation and prevent the condition from returning. After the child has completed the full antibiotic treatment, the doctor will begin another course of antibiotics to prevent recurrence of rheumatic fever. The doctor will prescribe a pain reliever, such as aspirin or naproxen (Naprosyn, Naprelan, Anaprox DS), to reduce inflammation, fever and pain. For severe involuntary movements caused by Sydenham chorea, the doctor might prescribe antiseizure medications, such as valproic acid (Depakene) or carbamazepine (Carbatrol, Tegretol, others).",,,Cardiology,"Fever, multiple painful joints, involuntary muscle movements, erythema marginatum","2â€“4 weeks after a streptococcal throat infection, age 5-14 years",,Autoimmune disease triggered by Streptococcus pyogenes,"Genetics, malnutrition, poverty",Based on symptoms and infection history,"Antibiotics for strep throat, improved sanitation","Prolonged periods of antibiotics, valve replacement surgery, valve repair",,"325,000 children a year",,https://upload.wikimedia.org/wikipedia/commons/4/4a/Pos_strep.JPG
Rheumatoid arthritis,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,,"Rheumatoid arthritis can cause pain, swelling and deformity. Unlike the wear-and-tear damage of osteoarthritis, rheumatoid arthritis affects the lining of the joints, causing a painful swelling that can eventually result in bone erosion and joint deformity.","Osteoarthritis, the most common form of arthritis, involves the wearing away of the cartilage that caps the bones in the joints. With rheumatoid arthritis, the synovial membrane that protects and lubricates joints becomes inflamed, causing pain and swelling.","If a member of the family has rheumatoid arthritis, one may have an increased risk of the disease. Cigarette smoking increases the risk of developing rheumatoid arthritis, particularly if one has a genetic predisposition for developing the disease. Although poorly understood, some exposures such as asbestos or silica may increase the risk of developing rheumatoid arthritis. Emergency workers exposed to dust from the collapse of the World Trade Center are at higher risk of autoimmune diseases such as rheumatoid arthritis. People especially women age 55 and younger who are overweight or obese appear to be at a somewhat higher risk of developing rheumatoid arthritis.",,,"These self-care measures, when used along with the rheumatoid arthritis medications, can help one manage the signs and symptoms: Exercise regularly. Gentle exercise can help strengthen the muscles around the joints, and it can help fight fatigue one might feel. Heat can help ease the pain and relax tense, painful muscles. Rheumatoid arthritis and exercise Rheumatoid arthritis pain: Tips for protecting the joints Rheumatoid arthritis diet Exercise regularly.","Common DMARDs include methotrexate (Trexall, Otrexup, others), leflunomide (Arava), hydroxychloroquine (Plaquenil) and sulfasalazine (Azulfidine). Side effects vary but may include liver damage, bone marrow suppression and severe lung infections. Also known as biologic response modifiers, this newer class of DMARDs includes abatacept (Orencia), adalimumab (Humira), anakinra (Kineret), baricitinib (Olumiant), certolizumab (Cimzia), etanercept (Enbrel), golimumab (Simponi), infliximab (Remicade), rituximab (Rituxan), sarilumab (Kevzara), tocilizumab (Actemra) and tofacitinib (Xeljanz). The therapist may also suggest new ways to do daily tasks, which will be easier on the joints. If medications fail to prevent or slow joint damage, one and the doctor may consider surgery to repair damaged joints. Rheumatoid arthritis surgery may involve one or more of the following procedures: Surgery carries a risk of bleeding, infection and pain. Over-the-counter NSAIDs include ibuprofen (Advil, Motrin IB) and naproxen sodium (Aleve). Corticosteroid medications, such as prednisone, reduce inflammation and pain and slow joint damage. Surgery to remove the inflamed lining of the joint (synovium) can be performed on knees, elbows, wrists, fingers and hips. During joint replacement surgery, the surgeon removes the damaged parts of the joint and inserts a prosthesis made of metal and plastic.",Rheumatology Immunology,"Warm, swollen, painful joints",Middle age,Lifelong,Unknown,,"Based on symptoms, medical imaging, blood tests",,,,0.5â€“1% (adults in developed world),"Pain medications, steroids, Nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs",https://upload.wikimedia.org/wikipedia/commons/e/eb/Inflamatory_arthritis2010.JPG
Rib fracture,https://www.mayoclinic.org/diseases-conditions/broken-ribs/symptoms-causes/syc-20350763,,,,"Playing contact sports, such as hockey or football, increases the risk of trauma to the chest. A cancerous lesion can weaken the bone, making it more susceptible to breaks.",,,,,Emergency medicine,Chest pain that is worse with breathing in,,,Chest trauma,,"Based on symptoms, medical imaging",,,Pain improves over 6 weeks,Common,"Paracetamol (acetaminophen), NSAIDs, opioids",https://upload.wikimedia.org/wikipedia/commons/b/b4/BrokenRidCTParaSag.png
Rickets,https://www.mayoclinic.org/diseases-conditions/rickets/symptoms-causes/syc-20351943,,"Rickets is the softening and weakening of bones in children, usually because of an extreme and prolonged vitamin D deficiency. Not enough vitamin D makes it difficult to maintain proper calcium and phosphorus levels in bones, which can cause rickets.","The child's body needs vitamin D to absorb calcium and phosphorus from food. Rickets can occur if the child's body doesn't get enough vitamin D or if his or her body has problems using vitamin D properly. They're also more likely to use sunscreen, which blocks the sun's rays that trigger the skin's production of vitamin D. Food.","Dark skin has more of the pigment melanin, which lowers the skin's ability to produce vitamin D from sunlight. A baby born to a mother with severe vitamin D deficiency can be born with signs of rickets or develop them within a few months after birth. Babies born before their due dates tend have lower levels of vitamin D because they had less time to receive the vitamin from their mothers in the womb. Certain types of anti-seizure medications and antiretroviral medications, used to treat HIV infections, appear to interfere with the body's ability to use vitamin D. Exclusive breast-feeding.","During the exam, the doctor will gently press on the child's bones, checking for abnormalities. Babies who have rickets often have softer skull bones and might have a delay in the closure of the soft spots (fontanels). Some children with rickets develop abnormalities in their rib cages, which can flatten and cause their breastbones to protrude.",,,,"Pediatrics, rheumatology, Nutritionist","Bowed legs, stunted growth, bone pain, large forehead, trouble sleeping",Childhood,,"Diet without enough vitamin D or calcium, too little sun exposure, exclusive breastfeeding without supplementation, celiac disease, certain genetic conditions",,"Blood tests, X-rays",Vitamin D supplements for exclusively-breastfed babies,Vitamin D and calcium,,"Relatively common (Middle East, Africa, Asia)",,
RLS,https://www.mayoclinic.org/diseases-conditions/restless-legs-syndrome/symptoms-causes/syc-20377168,"Common accompanying characteristics of RLS include People typically describe RLS symptoms as abnormal, unpleasant sensations in their legs or feet. The sensations, which generally occur within the limb rather than on the skin, are described as: Sometimes the sensations are difficult to explain. The sensation typically begins after one has been lying down or sitting for an extended time, such as in a car, airplane or movie theater. The sensation of RLS lessens with movement, such as stretching, jiggling the legs, pacing or walking.","Restless legs syndrome (RLS) is a condition that causes an uncontrollable urge to move the legs, usually because of an uncomfortable sensation. Restless legs syndrome, also known as Willis-Ekbom disease, can begin at any age and generally worsens as one age.",,"Even without anemia, iron deficiency can cause or worsen RLS. If one has a history of bleeding from the stomach or bowels, experience heavy menstrual periods, or repeatedly donate blood, one may have iron deficiency. If one has kidney failure, one may also have iron deficiency, often with anemia. Having had anesthesia to the spinal cord, such as a spinal block, also increases the risk of developing RLS.","A diagnosis of RLS is based on the following criteria, established by the International Restless Legs Syndrome Study Group: The doctor may conduct a physical and a neurological exam. This may involve an overnight stay at a sleep clinic, where doctors can study the sleep if another sleep disorder such as sleep apnea is suspected.",,"Fatigue tends to worsen symptoms of RLS, so it's important that one practice good sleep hygiene. Ideally, have a cool, quiet, comfortable sleeping environment; go to bed and rise at the same time daily; and get at least seven hours of sleep nightly. Try to avoid caffeine-containing products, including chocolate, coffee, tea and soft drinks, for a few weeks to see if this helps.","Ropinirole (Requip), rotigotine (Neupro) and pramipexole (Mirapex) are approved by the Food and Drug Administration for the treatment of moderate to severe RLS. Sometimes dopamine medications that have worked for a while to relieve the RLS become ineffective, or one notice the symptoms returning earlier in the day or involving the arms. However, if one need to take these medications, talk to the doctor about adding drugs to help manage the RLS. Certain medications, such as gabapentin (Neurontin, Gralise), gabapentin enacarbil (Horizant) and pregabalin (Lyrica), work for some people with RLS. Narcotic medications can relieve mild to severe symptoms, but they may be addicting if used in high doses.",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Ls_--color%3Dauto_-ls_linux.png
Road rage,https://www.mayoclinic.org/diseases-conditions/intermittent-explosive-disorder/symptoms-causes/syc-20373921,,,"Intermittent explosive disorder can begin in childhood after the age of 6 years or during the teenage years. The exact cause of the disorder is unknown, but it's probably caused by a number of environmental and biological factors. Most people with this disorder grew up in families where explosive behavior and verbal and physical abuse were common. There may be differences in the structure, function and chemistry of the brain in people with intermittent explosive disorder compared to people who don't have the disorder.",,"To determine a diagnosis of intermittent explosive disorder and eliminate other physical conditions or mental health disorders that may be causing the symptoms, the doctor will likely: Do a physical exam. The Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association, is often used by mental health professionals to diagnose mental conditions.",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg
Rocky Mountain spotted fever,https://www.mayoclinic.org/diseases-conditions/rocky-mountain-spotted-fever/symptoms-causes/syc-20361032,"The red, nonitchy rash associated with Rocky Mountain spotted fever typically appears three to five days after the initial signs and symptoms begin. Some people who are infected with Rocky Mountain spotted fever don't ever develop a rash, which makes diagnosis much more difficult.","Rocky Mountain spotted fever is a bacterial infection transmitted by a tick. Without prompt treatment, Rocky Mountain spotted fever can cause serious damage to internal organs, such as the kidneys and heart. Although it was first identified in the Rocky Mountains, Rocky Mountain spotted fever is most commonly found in the southeastern part of the United States.",Rocky Mountain spotted fever is caused by infection with the organism Rickettsia rickettsii. Rocky Mountain spotted fever primarily occurs when ticks are most active and during warm weather when people tend to spend more time outdoors.,,,,,,Infectious disease,"Early: Fever, headacheLater: Rash",2 to 14 days after infection,2 weeks,Rickettsia rickettsii spread ticks,,Based on symptoms,,Doxycycline,0.5% risk of death,"< 5,000 cases per year (USA)",,https://upload.wikimedia.org/wikipedia/commons/a/a8/Dermacentor_andersoni_range_map.svg
Rosacea,https://www.mayoclinic.org/diseases-conditions/rosacea/symptoms-causes/syc-20353815,"Over time, rosacea can thicken the skin on the nose, causing the nose to appear bulbous (rhinophyma). Many people with rosacea also experience dry, irritated, swollen eyes and red, swollen eyelids. Over time, rosacea can thicken the skin on the nose, causing the nose to appear bulbous (rhinophyma).","Changes typical of rosacea are redness of the cheeks, nose and central face, with small red bumps or pustules. However, rosacea still causes redness and dilation of small blood vessels on the surface of the skin.",,,,,"These self-care practices may help one control the signs and symptoms of rosacea and prevent flare-ups: Protect the face. Apply sunscreen after one apply any topical medication one is using for the face, and before applying any cosmetics. Take other steps to protect the skin, such as wearing a hat and avoiding midday sun.","For mild to moderate rosacea, the doctor may prescribe a cream or gel that one apply to the affected skin. These drugs include azelaic acid (Azelex, Finacea), metronidazole (Metrogel, Noritate, others) and ivermectin (Soolantra). The doctor may prescribe an oral antibiotic such as doxycycline (Oracea, others) for moderate to severe rosacea with bumps and pimples. If one has severe rosacea that doesn't respond to other therapies, the doctor may suggest isotretinoin (Amnesteem, Claravis, others).",Dermatology,"Facial redness, swelling, and small and superficial dilated blood vessels",30â€“50 years old,Long term,Unknown,Family history,Based on symptoms,,,,~5%,Antibiotics either by mouth or applied to the skin,https://upload.wikimedia.org/wikipedia/commons/0/09/%28MHNT%29_Filipendula_vulgaris_-_Inflorescence.jpg
Roseola,https://www.mayoclinic.org/diseases-conditions/roseola/symptoms-causes/syc-20377283,"However, usually by the time one notice the child's high temperature, the threat of a possible seizure has already passed. Call the child's doctor if: If the immune system is compromised and one come in contact with someone who has roseola, contact the doctor. Roseola typically starts with a sudden, high fever often greater than 103 F (39.4 C). Some children also may have a sore throat, runny nose or cough along with or preceding the fever.","Roseola is a generally mild infection that usually affects children by age 2. Some children develop only a very mild case of roseola and never show any clear indication of illness, while others experience the full range of signs and symptoms.","Like other viral illnesses, such as a common cold, roseola spreads from person to person through contact with an infected person's respiratory secretions or saliva. Unlike chickenpox and other childhood viral illnesses that spread rapidly, roseola rarely results in a communitywide outbreak.","Older infants are at greatest risk of acquiring roseola because they haven't had time yet to develop their own antibodies against many viruses. While in the uterus, babies receive antibodies from their mothers that protect them as newborns from contracting infections, such as roseola.",,"With the doctor's advice, one can give the child over-the-counter medications to reduce fever, such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin, others). Though aspirin is approved for use in children older than age 3, children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin. This is because aspirin has been linked to Reye's syndrome, a rare but potentially life-threatening condition, in such children. There's no specific treatment for roseola, although some doctors may prescribe the antiviral medication ganciclovir (Cytovene) to treat the infection in people with weakened immunity. To treat the child's fever at home, the doctor may recommend: There's no specific treatment for the rash of roseola, which fades on its own in a short time. Make an appointment with the child's doctor if the child has a rash that doesn't improve after a few days, or if the child has a fever that lasts more than a week or exceeds 103 F (39.4 C). Encourage the child to drink clear fluids, such as water, ginger ale, lemon-lime soda, clear broth, or an electrolyte rehydration solution (Pedialyte, others) or sports drinks, such as Gatorade or Powerade, to prevent dehydration.","To treat the child's fever at home, the doctor may recommend: There's no specific treatment for the rash of roseola, which fades on its own in a short time. Encourage the child to drink clear fluids, such as water, ginger ale, lemon-lime soda, clear broth, or an electrolyte rehydration solution (Pedialyte, others) or sports drinks, such as Gatorade or Powerade, to prevent dehydration.",,Infectious disease,Fever followed by rash,Before the age of three,Few days,Human herpesvirus 6 (HHV-6) or human herpesvirus 7 (HHV-7),,Typically based on symptoms,,Supportive care,Generally good,,,https://upload.wikimedia.org/wikipedia/commons/6/66/Hhv-6_%281%29.jpg
Rotator cuff injury,https://www.mayoclinic.org/diseases-conditions/rotator-cuff-injury/symptoms-causes/syc-20350225,,"Rotator cuff injuries can range in severity from simple inflammation to complete tendon tears. The rotator cuff is a group of muscles and tendons that surround the shoulder joint, keeping the head of the upper arm bone firmly within the shallow socket of the shoulder. Many people with rotator cuff disease can manage their symptoms and return to activities with physical therapy exercises that improve flexibility and strength of the muscles surrounding the shoulder joint. Extensive rotator cuff tears may not be fixable, and transfer of alternative tendons or joint replacement may be possible.",,"As one get older, the risk of a rotator cuff injury increases. Occupations such as carpentry or house painting require repetitive arm motions, often overhead, that can damage the rotator cuff over time. There may be a genetic component involved with rotator cuff injuries as they appear to occur more commonly in certain families.","Although a rotator cuff tear won't show up on an X-ray, this test can visualize bone spurs or other potential causes for the pain such as arthritis. This type of test uses sound waves to produce images of structures within the body, particularly soft tissues such as muscles and tendons. It allows dynamic testing, assessing the structures of the shoulder as they move.",,,,Orthopedics,"Shoulder pain, weakness",,,,,"Based on symptoms, examination, medical imaging",,"Pain medication, specific exercises, surgery",,Common,,https://upload.wikimedia.org/wikipedia/commons/4/42/Acromion_of_left_scapula01.png
Rotavirus,https://www.mayoclinic.org/diseases-conditions/rotavirus/symptoms-causes/syc-20351300,,"Rotavirus is a very contagious virus that causes diarrhea. Although rotavirus infections are unpleasant, one can usually treat this infection at home with extra fluids to prevent dehydration.",,,,"If the child has severe diarrhea, ask the doctor about offering an oral rehydration fluid such as Pedialyte or Enfalyte especially if the diarrhea lasts longer than a few days. If the baby drinks formula, offer a small amount of an oral rehydration fluid or regular formula.",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Avertable-deaths-from-rotavirus-with-full-vaccine-coverage.png
Round back,https://www.mayoclinic.org/diseases-conditions/kyphosis/symptoms-causes/syc-20374205,,An increased front-to-back curve of the upper spine is called kyphosis. Age-related kyphosis is often due to weakness in the spinal bones that causes them to compress or crack. Other types of kyphosis can appear in infants or teens due to malformation of the spine or wedging of the spinal bones over time.,"Broken or crushed vertebrae (compression fractures) can result in curvature of the spine. This bone-thinning disorder can cause spinal curvature, especially if weakened vertebrae result in compression fractures. Also called Scheuermann's kyphosis, this disease typically begins during the growth spurt that occurs before puberty. Cancer in the spine can weaken vertebrae and make them more prone to compression fractures, as can chemotherapy and radiation cancer treatments.",,"After evaluating the signs and symptoms, the doctor may recommend: X-rays or CT scans. If one is experiencing numbness or muscle weakness, the doctor may recommend tests to determine how well nerve impulses are traveling between the spinal cord and the extremities.",,,"The doctor might suggest medication, including Therapy can help manage certain types of kyphosis. To help one maintain good bone density, the doctor might recommend: Pain relievers. If over-the-counter medicines such as acetaminophen (Tylenol, others), ibuprofen (Advil, Motrin IB, others) or naproxen sodium (Aleve) aren't enough, stronger pain medications are available by prescription.",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Braille_O.svg
RSV,https://www.mayoclinic.org/diseases-conditions/respiratory-syncytial-virus/symptoms-causes/syc-20353098,"These include Respiratory syncytial virus infection can spread to the lower respiratory tract, causing pneumonia or bronchiolitis inflammation of the small airway passages entering the lungs. Other signs and symptoms of severe RSV infection in infants include Most children and adults recover in one to two weeks, although some might have repeated wheezing.","Respiratory syncytial virus (RSV) causes infections of the lungs and respiratory tract. RSV can cause severe infection in some people, especially premature babies, older adults, infants and adults with heart and lung disease, or anyone with a very weak immune system (immunocompromised).","Respiratory syncytial virus enters the body through the eyes, nose or mouth. Touch the mouth, nose or eyes after touching a contaminated object and one is likely to pick up the virus.",,,,"One may not be able to shorten the length of a respiratory syncytial virus infection, but one can try to relieve some signs and symptoms. If the air is dry, a cool-mist humidifier or vaporizer can moisten the air and help ease congestion and coughing. Offer warm fluids, such as soup, which may help loosen thickened secretions. Over-the-counter (OTC) drops are a safe, effective way to ease congestion, even for young children. Drip several drops into one nostril to loosen hardened or thick mucus, then immediately suction that nostril, using a bulb syringe. OTC pain relievers such as acetaminophen (Tylenol, others) may help reduce fever and relieve a sore throat.",,,,,,,,,,,,,,
